% Model:              heat_case1.mph
% Version:            COMSOL 6.0.0.354
% Date:               Mar 28 2023, 19:49
% Dimension:          2
% Nodes:              983
% Expressions:        51
% Description:        因变量 u
% Length unit:        m
% X                       Y                        u (1) @ t=0              u (1) @ t=0.1            u (1) @ t=0.2            u (1) @ t=0.3            u (1) @ t=0.4            u (1) @ t=0.5            u (1) @ t=0.6            u (1) @ t=0.7            u (1) @ t=0.8            u (1) @ t=0.9            u (1) @ t=1              u (1) @ t=1.1            u (1) @ t=1.2            u (1) @ t=1.3            u (1) @ t=1.4            u (1) @ t=1.5            u (1) @ t=1.6            u (1) @ t=1.7            u (1) @ t=1.8            u (1) @ t=1.9            u (1) @ t=2              u (1) @ t=2.1            u (1) @ t=2.2            u (1) @ t=2.3            u (1) @ t=2.4            u (1) @ t=2.5            u (1) @ t=2.6            u (1) @ t=2.7            u (1) @ t=2.8            u (1) @ t=2.9            u (1) @ t=3              u (1) @ t=3.1            u (1) @ t=3.2            u (1) @ t=3.3            u (1) @ t=3.4            u (1) @ t=3.5            u (1) @ t=3.6            u (1) @ t=3.7            u (1) @ t=3.8            u (1) @ t=3.9            u (1) @ t=4              u (1) @ t=4.1            u (1) @ t=4.2            u (1) @ t=4.3            u (1) @ t=4.4            u (1) @ t=4.5            u (1) @ t=4.6            u (1) @ t=4.7            u (1) @ t=4.8            u (1) @ t=4.9            u (1) @ t=5
0                         0.03703703703703703      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.024181804236916946      0.025101562535193245     0                        9.038495287224384E-5     1.7300057927095515E-4    2.3944200805813546E-4    2.825893149607826E-4     2.9833398576486987E-4    2.847680830040122E-4     2.4310085986654141E-4    1.773591298917378E-4     9.47620682318108E-5      2.8501823629734636E-6    -8.933490277342768E-5    -1.7281430664529572E-4   -2.3939373545662154E-4   -2.824669986238297E-4    -2.977880174232241E-4    -2.840620140618744E-4    -2.425914756467755E-4    -1.7713343098986232E-4   -9.432726941623718E-5    -2.95495115285796E-6     8.927544035210533E-5     1.7275530580429212E-4    2.3937289642860584E-4    2.82561800364709E-4      2.980798048078409E-4     2.8443071494363675E-4    2.4293022973248193E-4    1.7762684064540253E-4    9.475359633477073E-5     2.9687266957569633E-6    -8.914864424588135E-5    -1.7269365182964806E-4   -2.3913282885602293E-4   -2.8158510983185893E-4   -2.9673004669688506E-4   -2.8349051375118315E-4   -2.4326110469006894E-4   -1.7846613773936262E-4   -9.488246509076969E-5    -1.7403292889826997E-6   8.978965808967553E-5     1.72519893201239E-4      2.3949958113382062E-4    2.8254413214320206E-4    2.98087764592292E-4      2.844293687454868E-4     2.429040540954268E-4     1.7761886307589826E-4    9.485112904404437E-5     2.904413175324254E-6
0.03703703703703565       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.07407407407407406      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.027571414027287727      0.0557840602401582       0                        2.2173420756883347E-4    4.244714026079891E-4     5.877976743431285E-4     6.939975473572146E-4     7.32915284892558E-4      6.998305364826215E-4     5.976847243784429E-4     4.3634867748920545E-4    2.3354624280529112E-4    7.789244594753713E-6     -2.1871762817553153E-4   -4.239136980377974E-4    -5.876517662226059E-4    -6.936847162809452E-4    -7.315638068811722E-4    -6.980886391285804E-4    -5.964311534555742E-4    -4.3579211526761046E-4   -2.3247054613708798E-4   -8.035469171813814E-6    2.1860368969285203E-4    4.2378095112951186E-4    5.876062144859096E-4     6.939200492562576E-4     7.322770066989106E-4     6.989850178099681E-4     5.972503298465986E-4     4.3699173062045185E-4    2.3351192752982158E-4    8.066092184787973E-6     -2.182796400207505E-4    -4.2363666997269675E-4   -5.870247371369017E-4    -6.915264548520459E-4    -7.28968143141906E-4     -6.966890370724213E-4    -5.980911447926229E-4    -4.3907614635785704E-4   -2.3380232883303843E-4   -4.978411329798401E-6    2.1988591991264404E-4    4.231924371479266E-4     5.879259987275656E-4     6.938727399523839E-4     7.32300461592647E-4      6.989810611190164E-4     5.971764399567992E-4     4.3696881615237526E-4    2.3374871017520723E-4    7.903690901368786E-6
0.07407407407407274       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.05630057012026135       0.032686715398770994     0                        2.601053147367307E-4     4.978707530057107E-4     6.892299453903533E-4     8.135661520955828E-4     8.590183371740616E-4     8.200765522526893E-4     7.002085090880671E-4     5.109971222458649E-4     2.7322430668265055E-4    8.595715414167059E-6     -2.568584631155991E-4    -4.972836908795152E-4    -6.890768546194457E-4    -8.13207390750952E-4     -8.574409449058899E-4    -8.180400358719484E-4    -6.987407896946897E-4    -5.103461546787819E-4    -2.719681595416371E-4    -8.891661638749666E-6    2.5670157755346953E-4    4.971203104119525E-4     6.890201491328029E-4     8.134821361663159E-4     8.58279840620566E-4      8.190969830366244E-4     6.997092902525975E-4     5.117606145993003E-4     2.731933722820308E-4     8.930140548539684E-6     -2.563321313005439E-4    -4.969462653995398E-4    -6.883326263384602E-4    -8.106718139391501E-4    -8.543960353932661E-4    -8.163972758085697E-4    -7.006786757738517E-4    -5.1419023635585E-4      -2.735486292881921E-4    -5.352359331332423E-6    2.5819505683724906E-4    4.964366844480071E-4     6.893897151332465E-4     8.134287102666596E-4     8.583046317855533E-4     8.190928455727739E-4     6.996297237750545E-4     5.11736016622062E-4      2.7347274533306336E-4    8.742634446080426E-6
0.11111111111110983       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.09448062385976723       0.029523786283327608     0                        3.4373150431894116E-4    6.57998564527795E-4      9.111230694563629E-4     0.0010756845112389593    0.0011359566193466714    0.001084630731060616     9.262720798663024E-4     6.761808467033175E-4     3.618317991348396E-4     1.1919325798244278E-5    -3.3914010827618043E-4   -6.571554177243043E-4    -9.109019671627844E-4    -0.001075201701564528    -0.0011338641982210943   -0.0010819334677892396   -9.243298830684351E-4    -6.753182401520742E-4    -3.6016434428510466E-4   -1.2301809122075287E-5   3.389490570716428E-4     6.569480768075742E-4     9.108317009803958E-4     0.0010755674876070072    0.0011349713936172857    0.0010833239335369348    9.25600384535515E-4      6.771796888881313E-4     3.617814775817054E-4     1.2351769373932933E-5    -3.3845805116300615E-4   -6.567230277291993E-4    -9.099272750694715E-4    -0.001071853490604231    -0.001129839426442919    -0.0010797649923397464   -9.269055529010261E-4    -6.804095270870622E-4    -3.6222814939419664E-4   -7.564377701717421E-6    3.409436722159519E-4     6.560365244122145E-4     9.113266547513193E-4     0.001075492858365258     0.0011350064457146664    0.0010833182460083565    9.254906987996623E-4     6.771451450993788E-4     3.621489003972265E-4     1.2100747319222147E-5
0                         0.11111111111111108      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.028777393874653962      0.09227850879235217      0                        3.1026930920296673E-4    5.941393009416099E-4     8.240952451464995E-4     9.74222264320766E-4      0.0010299660406943854    9.845450857935403E-4     8.419650150859008E-4     6.159970995296917E-4     3.315008229622368E-4     1.4433524153092807E-5    -3.040366170940553E-4    -5.928984637509142E-4    -8.237648754436299E-4    -9.737246666303937E-4    -0.0010280184648641174   -9.820640254640486E-4    -8.401937932408136E-4    -6.152058789930319E-4    -3.29954760227935E-4     -1.4730626555356478E-5   3.0402046204297924E-4    5.92768528075367E-4      8.23727339782706E-4      9.740679434672904E-4     0.0010290070933360875    9.832830264551158E-4     8.412864230575395E-4     6.168364085375979E-4     3.3139357718249253E-4    1.475942825930296E-5     -3.0350940253474277E-4   -5.925970883872762E-4    -8.229467718119235E-4    -9.707278693899334E-4    -0.001024385393310996    -9.801191117135607E-4    -8.426025023108382E-4    -6.19874128034402E-4     -3.3167658672397874E-4   -1.0085948891138638E-5   3.059159690983126E-4     5.918925034651151E-4     8.242179632227702E-4     9.739828632845984E-4     0.0010290578180865058    9.832744348843684E-4     8.411392533133438E-4     6.167888101135796E-4     3.3171334843072993E-4    1.4510834291861182E-5
0.14814814814814692       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.1304882367228828        0.029839591618544454     0                        4.0259563424404184E-4    7.709055909820532E-4     0.0010677815479592826    0.0012609059134577024    0.0013317947694096825    0.0012718511582829556    0.0010863977299806656    7.933534967988115E-4     4.2491690709177513E-4    1.4717557998661969E-5    -3.9690026282345755E-4   -7.69847932179431E-4     -0.001067503708406048    -0.0012603333073266222   -0.00132933739129494     -0.0012686848960442182   -0.0010841190641211927   -7.923393817708219E-4    -4.229542487702563E-4    -1.5152680429176936E-5   3.966929535002977E-4     7.69613146456119E-4      0.0010674257459640563    0.0012607630066953513    0.001330629431307472     0.0012703037513682321    0.0010855953652314564    7.945094211427084E-4     4.2484433502686683E-4    1.5210647419038176E-5    -3.961175399770955E-4    -7.693568394261508E-4    -0.001066371657084266    -0.001256414388780704    -0.0013246217949531274   -0.0012661449346210137   -0.0010871440588208906   -7.983070158225973E-4    -4.2534658656448774E-4   -9.55276139845865E-6     3.990478426998323E-4     7.685393097476004E-4     0.0010680104190150857    0.0012606716003249873    0.0013306726445593447    0.001270297012750891     0.0010854629789404944    7.944670630682787E-4     4.25272846300334E-4      1.4913525092473008E-5
0                         0.14814814814814808      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.02947336549409348       0.1292502083880742       0                        2.2841035090678523E-4    4.3778385778229617E-4    6.105459652550645E-4     7.248193073626975E-4     7.690359938204351E-4     7.377666537803916E-4     6.336895707204714E-4     4.668355049176794E-4     2.5565126981815645E-4    1.9376699559536383E-5    -2.1880640180962894E-4   -4.3572142020432665E-4   -6.099874021659649E-4    -7.243020856576187E-4    -7.67459984810484E-4     -7.358323924525066E-4    -6.323437367657696E-4    -4.662222089817357E-4    -2.544102167513064E-4    -1.9477325964164857E-5   2.1914627608821913E-4    4.3576703652171734E-4    6.100257543610557E-4     7.245903695688277E-4     7.681672250767045E-4     7.366427796266892E-4     6.330132273576055E-4     4.673040234733183E-4     2.554267869646411E-4     1.9464697708174522E-5    -2.186321826315903E-4    -4.3571515447846245E-4   -6.095327276033521E-4    -7.221525808215802E-4    -7.647824848302023E-4    -7.344373148525253E-4    -6.343398229076056E-4    -4.6984707862433313E-4   -2.553172473401041E-4    -1.5123997797947411E-5   2.2080480969079774E-4    4.349874706774254E-4     6.104979717661666E-4     7.244796590838561E-4     7.682488953907481E-4     7.366285947096007E-4     6.327967940572046E-4     4.6722937830265E-4       2.5563274056839913E-4    1.922844118484155E-5
0.185185185185184         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.16713789539790466       0.03003866426687968      0                        4.222262216241873E-4     8.089919935354295E-4     0.0011208614355045579    0.0013238322342557262    0.0013984732081891535    0.001335735883578143     0.0011411789761686224    8.336091657215559E-4     4.468188213228733E-4     1.6111641775447806E-5    -4.1614921376135274E-4   -8.078629697594392E-4    -0.0011205664137009204   -0.0013232347443978675   -0.0013958983449612204   -0.0013324111970243805   -0.0011387850860507095   -8.325408900980987E-4    -4.447523098461761E-4    -1.6553723746404888E-5   4.1593349256911354E-4    8.076169960633592E-4     0.0011204848583354079    0.0013236820391295545    0.0013972435611624432    0.0013340976783180296    0.0011403243385365773    8.348082299017512E-4     4.467288169823868E-4     1.6615778751187836E-5    -4.1533859834639995E-4   -8.073558576924381E-4    -0.0011193828935866402   -0.0013191251546567338   -0.0013909504129183475   -0.001329740640801085    -0.0011419425094900473   -8.387822808296231E-4    -4.4725510859299254E-4   -1.069329050080515E-5    4.184027150290303E-4     8.064947025474166E-4     0.0011210946940651272    0.0013235850652595115    0.0013972888092060912    0.0013340910550189349    0.0011401870957610182    8.347639150167041E-4     4.4717770334584667E-4    1.630389161811083E-5
0                         0.1851851851851851       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
